PF07679	PF00612
PF14915	PF12796
PF00011	PF00525
PF08150	PF08165
PF08150	PF16165
PF08150	PF00168
PF08165	PF16165
PF08165	PF00168
PF16165	PF00168
PF16190	PF10585
PF16190	PF00899
PF16190	PF16191
PF16190	PF09358
PF10585	PF00899
PF10585	PF16191
PF10585	PF09358
PF00899	PF16191
PF00899	PF09358
PF16191	PF09358
PF17047	PF00168
PF14604	PF00169
PF14604	PF00620
PF00169	PF00620
PF07653	PF00018
PF07653	PF00621
PF00018	PF00621
PF00093	PF07679
PF00093	PF13855
PF00093	PF03098
PF07679	PF13855
PF07679	PF03098
PF13855	PF03098
PF02776	PF00205
PF02776	PF02775
PF00205	PF02775
PF00169	PF00621
PF00041	PF00622
PF07653	PF00787
PF00787	PF00018
PF00096	PF00651
PF11977	PF18039
PF00373	PF09380
PF00373	PF09379
PF00373	PF08736
PF09380	PF09379
PF09380	PF08736
PF09379	PF08736
PF01454	PF12440
PF09068	PF09069
PF09068	PF00569
PF09069	PF00569
PF00270	PF02889
PF00270	PF00271
PF02889	PF00271
PF00096	PF01352
PF08314	PF15492
PF07973	PF03129
PF07973	PF02824
PF07973	PF00587
PF03129	PF02824
PF03129	PF00587
PF02824	PF00587
PF07679	PF00041
PF12001	PF14915
PF13871	PF13872
PF00053	PF00055
PF01128	PF18706
PF01018	PF01926
PF00560	PF13855
PF02181	PF00595
PF12578	PF06602
PF00022	PF14915
PF00022	PF12796
PF00188	PF00059
PF01369	PF15410
PF15287	PF01352
PF10520	PF00179
PF02931	PF02932
PF16415	PF16417
PF16415	PF12842
PF16415	PF16418
PF16415	PF04054
PF16417	PF12842
PF16417	PF16418
PF16417	PF04054
PF12842	PF16418
PF12842	PF04054
PF16418	PF04054
PF00053	PF12661
PF02988	PF00021
PF01344	PF07707
PF01344	PF00651
PF07707	PF00651
PF01958	PF03447
PF08081	PF00076
PF00622	PF00643
PF14048	PF16564
PF02752	PF00339
PF05587	PF00092
PF07527	PF00010
PF00076	PF12414
PF13402	PF17291
PF00097	PF00622
PF01067	PF00648
PF00091	PF03953
PF01391	PF00386
PF13840	PF18700
PF12796	PF01412
PF12799	PF13855
PF00096	PF02023
PF07653	PF14604
PF07525	PF12796
PF17919	PF16297
PF01465	PF16704
PF01465	PF00638
